fetch_ts_utc,fetch_ts_ist,symbol,expiry_date,strike,option_type,underlying_value,bid_price,bid_qty,ask_price,ask_qty,ltp,mid_price,open_interest,change_in_oi,total_traded_volume,pchange_vs_prev_close,nse_iv,delta,gamma,theta,vega,vanna,charm,vomma,speed,zomma,color,veta,omega,dual_delta,dual_gamma,time_to_expiry_years,futures_price,implied_cost_of_carry,dividend_yield_used,dividend_yield_source,risk_free_rate_used,india_vix,lot_size,underlying_day_open,underlying_day_high,underlying_day_low,underlying_prev_close,price_source_for_iv,data_quality_flag
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,15000.0,CE,23331.7,,0,8635.55,1690,0.0,,0,0,0,0,0,,,,,,,,,,,,,,,0.03030878576506215,,,,,,11.5,65,23334.7,23360.55,23286.6,23270.6,none,no_price_available
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,15000.0,PE,23331.7,0.7,86255,0.9,10725,0.65,0.8,1427,0,27,-13.333333333333334,81.93,-0.0007369046467544983,7.640674440559723e-07,-0.3798513978919195,0.10328469119547334,-0.009425784510569,0.0003467318966770529,1.2173931230843247,-7.642449665682072e-10,8.073270590471003e-06,-2.96222417227393e-07,-0.04946779219729762,-24.936523760944805,0.0011921812197881717,1.8485957254088408e-06,0.03030878576506215,23363,0.044232172515158444,0.012199999999999999,index_dividend_yield,0.065,11.5,65,23334.7,23360.55,23286.6,23270.6,mid_price,wide_quote_low_liquidity
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,16500.0,CE,23331.7,,0,6919.05,780,0.0,,0,0,0,0,0,,,,,,,,,,,,,,,0.03030878576506215,,,,,,11.5,65,23334.7,23360.55,23286.6,23270.6,none,no_price_available
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,16500.0,PE,23331.7,0.5,130,0.6,4030,0.55,0.55,2010,2,74,10,64.48,-0.0007976473283329034,1.0443173750876306e-06,-0.3209853243930152,0.11110122250171708,-0.012914287580859617,0.0003731155471085958,1.655870696591004,-1.307162899380704e-09,1.3944987001941097e-05,-4.0177934418916336e-07,-0.05288020062680166,-31.75806543721801,0.0011634227748509788,2.0881292771285154e-06,0.03030878576506215,23363,0.044232172515158444,0.012199999999999999,index_dividend_yield,0.065,11.5,65,23334.7,23360.55,23286.6,23270.6,mid_price,wide_quote_low_liquidity
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,18000.0,CE,23331.7,5285.75,130,5424.15,1690,0.0,5354.95,14,0,0,0,0,,,,,,,,,,,,,,,0.03030878576506215,23363,0.044232172515158444,0.012199999999999999,index_dividend_yield,0.065,11.5,65,23334.7,23360.55,23286.6,23270.6,mid_price,no_nse_iv
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,18000.0,PE,23331.7,0.6,16445,0.7,2665,0.6,0.6499999999999999,12553,-50,152,-14.285714285714286,49.75,-0.001116553867652148,1.8434287156860832e-06,-0.33635444615292986,0.15131456672243965,-0.022243896769506225,0.0004941169241797349,2.762269805810971,-2.8800606833746184e-09,2.9946387223575982e-05,-6.631984721384876e-07,-0.06821867172985074,-40.42573353306291,0.0014830843668987106,3.097234622436068e-06,0.03030878576506215,23363,0.044232172515158444,0.012199999999999999,index_dividend_yield,0.065,11.5,65,23334.7,23360.55,23286.6,23270.6,mid_price,wide_quote_low_liquidity
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,19500.0,CE,23331.7,3847.75,65,3861.8,65,3819,3854.775,2161,0,5,0.15604306264014373,0,,,,,,,,,,,,,,,0.03030878576506215,23363,0.044232172515158444,0.012199999999999999,index_dividend_yield,0.065,11.5,65,23334.7,23360.55,23286.6,23270.6,mid_price,no_nse_iv
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,19500.0,PE,23331.7,1.1,7410,1.15,1430,1.15,1.125,15784,7,998,-11.538461538461538,37.58,-0.0025602257426444058,5.194632380934941e-06,-0.5382119520784742,0.3220867797713231,-0.05768458012819473,0.0009618093102808883,6.558816922324017,-9.802755649212391e-09,9.195698605052271e-05,-1.527587915035438e-06,-0.12393770573794967,-50.369732150171075,0.0031241198918829406,7.436667477095775e-06,0.03030878576506215,23363,0.044232172515158444,0.012199999999999999,index_dividend_yield,0.065,11.5,65,23334.7,23360.55,23286.6,23270.6,mid_price,ok
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,21000.0,CE,23331.7,2354.85,65,2362.65,130,2359,2358.75,7847,-63,876,1.077618527326092,0,,,,,,,,,,,,,,,0.03030878576506215,23363,0.044232172515158444,0.012199999999999999,index_dividend_yield,0.065,11.5,65,23334.7,23360.55,23286.6,23270.6,mid_price,no_nse_iv
2026-09-18T08:29:42.132113+00:00,2026-09-18T13:59:42.132113+05:30,NIFTY,29-Sep-2026,21000.0,PE,23331.7,3,11635,3.05,13585,3,3.025,56735,11501,18975,-13.043478260869565,26.2,-0.00898128943694271,2.2797024367610037e-05,-1.1360544782532864,0.9854639915120531,-0.21488882663180023,0.002465266590461759,20.653817676195672,-5.198496812071497e-08,0.0003907762360536785,-4.451332858950149e-06,-0.28148735027370597,-64.51411621129044,0.010133183701401389,2.814053443938765e-05,0.03030878576506215,23363,0.044232172515158444,0.012199999999999999,index_dividend_yield,0.065,11.5,65,23334.7,23360.55,23286.6,23270.6,mid_price,ok
